X,Y,Function,Counts,Total_Time,Time_per_count
1000,255,AXPBY,128,3.460000000e-02,2.703125000e-04
1000,255,DOT_PRODUCT,109,2.280300000e-02,2.092018349e-04
1000,255,APPLY_STENCIL,45,1.346700000e-02,2.992666667e-04
1000,255,GRID,2,2.537000000e-03,1.268500000e-03
1000,255,CG,1,3.188800000e-02,3.188800000e-02
1000,255,GS_PRE_CON,21,4.858300000e-02,2.313476190e-03
1000,255,PCG,1,7.964900000e-02,7.964900000e-02
1000,306,GRID_C_R,9,1.216200000e-02,1.351333333e-03
1000,306,FILL_FUNC,2,1.626800000e-02,8.134000000e-03
1000,306,RAND,2,5.489000000e-03,2.744500000e-03
1000,306,AXPBY,128,4.167900000e-02,3.256171875e-04
1000,306,DOT_PRODUCT,109,2.657300000e-02,2.437889908e-04
1000,306,APPLY_STENCIL,45,1.629700000e-02,3.621555556e-04
1000,306,GRID,2,2.390000000e-03,1.195000000e-03
1000,306,CG,1,3.754700000e-02,3.754700000e-02
1000,306,GS_PRE_CON,21,5.831400000e-02,2.776857143e-03
1000,306,PCG,1,9.565800000e-02,9.565800000e-02
1000,368,GRID_C_R,9,1.446400000e-02,1.607111111e-03
1000,368,FILL_FUNC,2,1.950200000e-02,9.751000000e-03
1000,368,RAND,2,6.637000000e-03,3.318500000e-03
1000,368,AXPBY,128,4.890200000e-02,3.820468750e-04
1000,368,DOT_PRODUCT,109,2.941400000e-02,2.698532110e-04
1000,368,APPLY_STENCIL,45,1.925300000e-02,4.278444444e-04
1000,368,GRID,2,2.423000000e-03,1.211500000e-03
1000,368,CG,1,4.385600000e-02,4.385600000e-02
1000,368,GS_PRE_CON,21,7.000900000e-02,3.333761905e-03
1000,368,PCG,1,1.121020000e-01,1.121020000e-01
1000,441,GRID_C_R,9,1.535400000e-02,1.706000000e-03
1000,441,FILL_FUNC,2,2.337700000e-02,1.168850000e-02
1000,441,RAND,2,7.931000000e-03,3.965500000e-03
1000,441,AXPBY,128,5.896900000e-02,4.606953125e-04
1000,441,DOT_PRODUCT,109,3.415500000e-02,3.133486239e-04
1000,441,APPLY_STENCIL,45,2.244900000e-02,4.988666667e-04
1000,441,GRID,2,3.031000000e-03,1.515500000e-03
1000,441,CG,1,5.160700000e-02,5.160700000e-02
1000,441,GS_PRE_CON,21,8.385600000e-02,3.993142857e-03
1000,441,PCG,1,1.338160000e-01,1.338160000e-01
1000,529,GRID_C_R,9,1.452500000e-02,1.613888889e-03
1000,529,FILL_FUNC,2,2.803800000e-02,1.401900000e-02
1000,529,RAND,2,9.479000000e-03,4.739500000e-03
1000,529,AXPBY,128,7.071000000e-02,5.524218750e-04
1000,529,DOT_PRODUCT,109,4.253000000e-02,3.901834862e-04
1000,529,APPLY_STENCIL,45,2.769600000e-02,6.154666667e-04
1000,529,GRID,2,3.926000000e-03,1.963000000e-03
1000,529,CG,1,6.037800000e-02,6.037800000e-02
1000,529,GS_PRE_CON,21,1.005980000e-01,4.790380952e-03
1000,529,PCG,1,1.634720000e-01,1.634720000e-01
1000,635,GRID_C_R,9,1.663100000e-02,1.847888889e-03
1000,635,FILL_FUNC,2,3.363600000e-02,1.681800000e-02
1000,635,RAND,2,1.137300000e-02,5.686500000e-03
1000,635,AXPBY,128,8.709200000e-02,6.804062500e-04
1000,635,DOT_PRODUCT,109,4.869300000e-02,4.467247706e-04
1000,635,APPLY_STENCIL,45,3.315100000e-02,7.366888889e-04
1000,635,GRID,2,4.209000000e-03,2.104500000e-03
1000,635,CG,1,7.807300000e-02,7.807300000e-02
1000,635,GS_PRE_CON,21,1.205470000e-01,5.740333333e-03
1000,635,PCG,1,1.890200000e-01,1.890200000e-01
1000,763,GRID_C_R,9,1.899700000e-02,2.110777778e-03
1000,763,FILL_FUNC,2,4.048300000e-02,2.024150000e-02
1000,763,RAND,2,1.361200000e-02,6.806000000e-03
1000,763,AXPBY,128,1.069820000e-01,8.357968750e-04
1000,763,DOT_PRODUCT,109,5.933400000e-02,5.443486239e-04
1000,763,APPLY_STENCIL,45,4.190400000e-02,9.312000000e-04
1000,763,GRID,2,4.694000000e-03,2.347000000e-03
1000,763,CG,1,8.953800000e-02,8.953800000e-02
1000,763,GS_PRE_CON,21,1.450410000e-01,6.906714286e-03
1000,763,PCG,1,2.377670000e-01,2.377670000e-01
1000,915,GRID_C_R,9,2.169900000e-02,2.411000000e-03
1000,915,FILL_FUNC,2,4.838900000e-02,2.419450000e-02
1000,915,RAND,2,1.635300000e-02,8.176500000e-03
1000,915,AXPBY,128,1.350260000e-01,1.054890625e-03
1000,915,DOT_PRODUCT,109,7.381300000e-02,6.771834862e-04
1000,915,APPLY_STENCIL,45,4.939200000e-02,1.097600000e-03
1000,915,GRID,2,5.537000000e-03,2.768500000e-03
1000,915,CG,1,1.087760000e-01,1.087760000e-01
1000,915,GS_PRE_CON,21,1.739420000e-01,8.282952381e-03
1000,915,PCG,1,2.918160000e-01,2.918160000e-01
1000,1098,GRID_C_R,9,2.313700000e-02,2.570777778e-03
1000,1098,FILL_FUNC,2,5.819400000e-02,2.909700000e-02
1000,1098,RAND,2,1.962100000e-02,9.810500000e-03
1000,1098,AXPBY,128,1.835800000e-01,1.434218750e-03
1000,1098,DOT_PRODUCT,109,1.029580000e-01,9.445688073e-04
1000,1098,APPLY_STENCIL,45,6.259000000e-02,1.390888889e-03
1000,1098,GRID,2,6.900000000e-03,3.450000000e-03
1000,1098,CG,1,1.437370000e-01,1.437370000e-01
1000,1098,GS_PRE_CON,21,2.089170000e-01,9.948428571e-03
1000,1098,PCG,1,3.746410000e-01,3.746410000e-01
1000,1318,GRID_C_R,9,2.769900000e-02,3.077666667e-03
1000,1318,FILL_FUNC,2,6.983300000e-02,3.491650000e-02
1000,1318,RAND,2,2.356900000e-02,1.178450000e-02
1000,1318,AXPBY,128,2.291280000e-01,1.790062500e-03
1000,1318,DOT_PRODUCT,109,1.320920000e-01,1.211853211e-03
1000,1318,APPLY_STENCIL,45,8.443300000e-02,1.876288889e-03
1000,1318,GRID,2,7.667000000e-03,3.833500000e-03
1000,1318,CG,1,1.730140000e-01,1.730140000e-01
1000,1318,GS_PRE_CON,21,2.510050000e-01,1.195261905e-02
1000,1318,PCG,1,4.743420000e-01,4.743420000e-01
1000,1582,GRID_C_R,9,3.103500000e-02,3.448333333e-03
1000,1582,FILL_FUNC,2,8.350400000e-02,4.175200000e-02
1000,1582,RAND,2,2.823600000e-02,1.411800000e-02
1000,1582,AXPBY,128,2.682540000e-01,2.095734375e-03
1000,1582,DOT_PRODUCT,109,1.538900000e-01,1.411834862e-03
1000,1582,APPLY_STENCIL,45,9.317800000e-02,2.070622222e-03
1000,1582,GRID,2,7.715000000e-03,3.857500000e-03
1000,1582,CG,1,2.065440000e-01,2.065440000e-01
1000,1582,GS_PRE_CON,21,3.011750000e-01,1.434166667e-02
1000,1582,PCG,1,5.530150000e-01,5.530150000e-01
1000,1899,GRID_C_R,9,3.617700000e-02,4.019666667e-03
1000,1899,FILL_FUNC,2,1.939360000e-01,9.696800000e-02
1000,1899,RAND,2,3.382900000e-02,1.691450000e-02
1000,1899,AXPBY,128,3.113170000e-01,2.432164062e-03
1000,1899,DOT_PRODUCT,109,1.814970000e-01,1.665110092e-03
1000,1899,APPLY_STENCIL,45,1.123470000e-01,2.496600000e-03
1000,1899,GRID,2,1.004400000e-02,5.022000000e-03
1000,1899,CG,1,2.479060000e-01,2.479060000e-01
1000,1899,GS_PRE_CON,21,3.623470000e-01,1.725461905e-02
1000,1899,PCG,1,6.503490000e-01,6.503490000e-01
1000,2278,GRID_C_R,9,4.236500000e-02,4.707222222e-03
1000,2278,FILL_FUNC,2,1.203880000e-01,6.019400000e-02
1000,2278,RAND,2,4.063500000e-02,2.031750000e-02
1000,2278,AXPBY,128,3.783060000e-01,2.955515625e-03
1000,2278,DOT_PRODUCT,109,2.366400000e-01,2.171009174e-03
1000,2278,APPLY_STENCIL,45,1.372780000e-01,3.050622222e-03
1000,2278,GRID,2,1.149100000e-02,5.745500000e-03
1000,2278,CG,1,3.020900000e-01,3.020900000e-01
1000,2278,GS_PRE_CON,21,4.336620000e-01,2.065057143e-02
1000,2278,PCG,1,7.997600000e-01,7.997600000e-01
1000,2734,GRID_C_R,9,5.020800000e-02,5.578666667e-03
1000,2734,FILL_FUNC,2,1.445120000e-01,7.225600000e-02
1000,2734,RAND,2,4.879700000e-02,2.439850000e-02
1000,2734,AXPBY,128,4.775920000e-01,3.731187500e-03
1000,2734,DOT_PRODUCT,109,3.033180000e-01,2.782733945e-03
1000,2734,APPLY_STENCIL,45,1.715800000e-01,3.812888889e-03
1000,2734,GRID,2,1.362500000e-02,6.812500000e-03
1000,2734,CG,1,3.741900000e-01,3.741900000e-01
1000,2734,GS_PRE_CON,21,5.205100000e-01,2.478619048e-02
1000,2734,PCG,1,9.955700000e-01,9.955700000e-01
1000,3281,GRID_C_R,9,5.779000000e-02,6.421111111e-03
1000,3281,FILL_FUNC,2,1.732670000e-01,8.663350000e-02
1000,3281,RAND,2,5.845700000e-02,2.922850000e-02
1000,3281,AXPBY,128,5.717830000e-01,4.467054688e-03
1000,3281,DOT_PRODUCT,109,3.759610000e-01,3.449183486e-03
1000,3281,APPLY_STENCIL,45,2.017620000e-01,4.483600000e-03
1000,3281,GRID,2,1.626800000e-02,8.134000000e-03
1000,3281,CG,1,4.519460000e-01,4.519460000e-01
1000,3281,GS_PRE_CON,21,6.248290000e-01,2.975376190e-02
1000,3281,PCG,1,1.196752000e+00,1.196752000e+00
1000,3937,GRID_C_R,9,6.909700000e-02,7.677444444e-03
1000,3937,FILL_FUNC,2,2.080330000e-01,1.040165000e-01
1000,3937,RAND,2,7.016600000e-02,3.508300000e-02
1000,3937,AXPBY,128,7.473400000e-01,5.838593750e-03
1000,3937,DOT_PRODUCT,109,5.131250000e-01,4.707568807e-03
1000,3937,APPLY_STENCIL,45,2.548960000e-01,5.664355556e-03
1000,3937,GRID,2,2.783700000e-02,1.391850000e-02
1000,3937,CG,1,5.568760000e-01,5.568760000e-01
1000,3937,GS_PRE_CON,21,7.512490000e-01,3.577376190e-02
1000,3937,PCG,1,1.552175000e+00,1.552175000e+00
1000,4725,GRID_C_R,9,8.160400000e-02,9.067111111e-03
1000,4725,FILL_FUNC,2,2.487960000e-01,1.243980000e-01
1000,4725,RAND,2,8.413100000e-02,4.206550000e-02
1000,4725,AXPBY,128,8.680000000e-01,6.781250000e-03
1000,4725,DOT_PRODUCT,109,6.191850000e-01,5.680596330e-03
1000,4725,APPLY_STENCIL,45,3.058090000e-01,6.795755556e-03
